UTM X,UTM Y,CO2_value,Nombre de la zona,Lat,Lon
589539,2203190,3.9133692,Los Azufres,19.9230151004979,-98.14446913035876
589509,2203200,9.558972,Los Azufres,19.923106837170263,-98.14475526570116
589511,2203197,81.11043,Los Azufres,19.923079637978695,-98.14473630340296
589497,2203205,8.617158,Los Azufres,19.92315256746824,-98.1448696713418
589478,2203189,200.72961,Los Azufres,19.923008868479293,-98.14505197569082
589476,2203176,227.13561,Los Azufres,19.922891495550793,-98.1450717153409
589451,2203170,227.26764,Los Azufres,19.922838429500775,-98.1453108577137
589422,2203153,12.855321,Los Azufres,19.922686153471883,-98.14558875013917
589398,2203157,229.99626,Los Azufres,19.922723398378125,-98.14581785264821
589384,2203184,9.514962,Los Azufres,19.922968006462256,-98.14595029872893
589389,2203172,3.5304822,Los Azufres,19.922859347871142,-98.1459031109134
589341,2203186,6.825951,Los Azufres,19.92298805115555,-98.14636102567765
589278,2203160,3.9204108,Los Azufres,19.922756010614865,-98.14696419103235
589332,2203207,191.22345,Los Azufres,19.9231782149578,-98.14644599352718
589450,2203200,98.40636,Los Azufres,19.9231095481163,-98.14531895472615
589559,2203155,11.983923,Los Azufres,19.92269792944282,-98.1442797513984
589574,2203153,4154.544,Los Azufres,19.922679168057435,-98.14413653829833
589562,2203152,19.518435,Los Azufres,19.922670684214832,-98.14425123520651
589567,2203130,150.29415,Los Azufres,19.922471667675893,-98.14420453494671
589573,2203141,36.889182,Los Azufres,19.922570785008794,-98.14414667591984
589585,2203153,195.97653,Los Azufres,19.922678662073835,-98.14403144404429
589562,2203156,9198.09,Los Azufres,19.922706827230257,-98.1442510406969
589582,2203124,127.629,Los Azufres,19.922416763222614,-98.14406151661076
589582,2203133,314.40744,Los Azufres,19.922498085005387,-98.14406107887255
589590,2203128,150.69024,Los Azufres,19.92245253822703,-98.1439848899859
589586,2203125,10562.4,Los Azufres,19.922425614975552,-98.14402325194217
589592,2203119,4810.293,Los Azufres,19.922371124438182,-98.14396621975331
589588,2203113,91.18872,Los Azufres,19.92231709392897,-98.14400472761376
589589,2203113,1226.9988,Los Azufres,19.922317047926747,-98.14399517361261
589589,2203113,2535.8562,Los Azufres,19.922317047926747,-98.14399517361261
589590,2203106,212.48028,Los Azufres,19.922253751648544,-98.14398596010139
589600,2203102,96.91002,Los Azufres,19.92221714858066,-98.14389061471644
589614,2203080,172.78326,Los Azufres,19.922017717848163,-98.14375792917768
589606,2203059,178.10847,Los Azufres,19.921828335121702,-98.14383538266858
589562,2203061,9.41814,Los Azufres,19.921848430573792,-98.14425566018495
589553,2203103,85.02732,Los Azufres,19.922228346138617,-98.14433960388358
589531,2203104,209.53161,Los Azufres,19.922238393412524,-98.14454974320743
589434,2203065,191.26746,Los Azufres,19.921890455792745,-98.14547837480616
589490,2203087,5.096358,Los Azufres,19.922086670001487,-98.14494228311447
589502,2203195,8947.233,Los Azufres,19.92306198012733,-98.14482238703519
589514,2203185,2169.693,Los Azufres,19.92297107102822,-98.14470822448476
589514,2203186,61.52598,Los Azufres,19.92298010678286,-98.14470817588257
