UTM X,UTM Y,CO2 gm-2-d-1 ,Nombre de la zona
806143,2104604,684.3277303,Michoacan 
793988,2103585,20.36791637,Michoacan 
782151,2104867,224.2595085,Michoacan 
767154,2104154,128.0220024,Michoacan 
752925,2104641,161.0298428,Michoacan 
813799,2117668,267.5622597,Michoacan 
799225,2119128,440.024079,Michoacan 
780630,2119736,39.12426483,Michoacan 
768784,2118758,55.58729128,Michoacan 
757095,2122595,87.70772027,Michoacan 
808367,2135656,65.03027338,Michoacan 
796133,2132789,204.9203948,Michoacan 
781954,2133018,54.90980863,Michoacan 
767952,2132839,66.003937,Michoacan 
754166,2129070,62.98551652,Michoacan 
813147,2149431,359.0389649,Michoacan 
797625,2147432,2237.524888,Michoacan 
786185,2149120,516.1794761,Michoacan 
767110,2150163,180.0290404,Michoacan 
752289,2148020,321.423653,Michoacan 
812714,2166130,35.1031734,Michoacan 
795557,2161150,159.5743573,Michoacan 
781939,2164046,62.63958958,Michoacan 
766551,2163755,312.986675,Michoacan 
749926,2163848,436.0447311,Michoacan 
812613,2179256,139.3369894,Michoacan 
798162,2178771,20.58964039,Michoacan 
782497,2178223,50.21497659,Michoacan 
769787,2180297,21.45151865,Michoacan 
750264,2179812,879.80487,Michoacan 
806143,2104604,13.54867917,Michoacan 
782151,2104867,82.62931612,Michoacan 
767154,2104154,9.365124046,Michoacan 
752925,2104641,21.22719767,Michoacan 
813799,2117668,111.5575342,Michoacan 
780630,2119736,118.010245,Michoacan 
768784,2118758,181.0889255,Michoacan 
757095,2122595,71.35456791,Michoacan 
808367,2135656,165.0822154,Michoacan 
796133,2132789,145.1423149,Michoacan 
781954,2133018,10.09322263,Michoacan 
767952,2132839,14.81709847,Michoacan 
754166,2129070,89.12726648,Michoacan 
813147,2149431,149.9391838,Michoacan 
797625,2147432,29.12477239,Michoacan 
786185,2149120,98.65096283,Michoacan 
767110,2150163,171.0903225,Michoacan 
752289,2148020,132.5301652,Michoacan 
812714,2166130,82.05830272,Michoacan 
795557,2161150,24.30456813,Michoacan 
781939,2164046,107.5239257,Michoacan 
812613,2179256,90.43230164,Michoacan 
798162,2178771,103.904747,Michoacan 
